year,horizon,hour,field,members,held_out,rmse_norm,rmse_phys,acc,gain_vs_single_pct,gain_vs_linear_pct,acc_delta_vs_single
2021,12.0,1,T1000,1,False,0.019508654406884558,0.3306662721213532,0.9933830386560596,0.0,20.6551833805248,0.0
2021,12.0,1,T925,1,False,0.020821880844958635,0.3328157952125987,0.9948642637804195,0.0,12.442497498653815,0.0
2021,12.0,1,T850,1,False,0.022282365792475046,0.34211205515933385,0.9953461559512414,0.0,4.990386129083868,0.0
2021,12.0,1,T700,1,False,0.01975875571918605,0.28284543057989575,0.9962144788748291,0.0,1.1885564438802398,0.0
2021,12.0,1,U1000,1,False,0.10099224795462736,0.5572915632153125,0.9920410639942155,0.0,6.069268475713607,0.0
2021,12.0,1,U925,1,False,0.09867209557919522,0.7065542596339743,0.992203697097534,0.0,7.123037013361378,0.0
2021,12.0,1,U850,1,False,0.09336193911937896,0.7035944189028437,0.9926938135100536,0.0,4.417048461064132,0.0
2021,12.0,1,U700,1,False,0.08671932272582936,0.7397669939345767,0.9936559076680637,0.0,1.7259880144875117,0.0
2021,12.0,1,V1000,1,False,0.19717413441754295,0.6061716052802248,0.991099080983687,0.0,7.89321765906883,0.0
2021,12.0,1,V925,1,False,0.25314719078912656,0.792205583326551,0.9902035614519902,0.0,9.05170189736868,0.0
2021,12.0,1,V850,1,False,0.3045110879448638,0.7638226072805866,0.9904714567764703,0.0,7.384255849402299,0.0
2021,12.0,1,V700,1,False,0.35880234243512593,0.8026222710748037,0.9916897082979097,0.0,4.730307389974319,0.0
2021,12.0,1,Q1000,1,False,0.02635211444294708,0.00019051840261241686,0.9920879070752506,0.0,3.580884571853793,0.0
2021,12.0,1,Q925,1,False,0.045590412722041555,0.0002807457975934235,0.983070738261548,0.0,1.2431705447602304,0.0
2021,12.0,1,Q850,1,False,0.06824166538300223,0.0003309987805847886,0.9842716693185664,0.0,0.9923305143312966,0.0
2021,12.0,1,Q700,1,False,0.0873705296206175,0.0002553982287206767,0.9878985420110273,0.0,1.0687341880436185,0.0
2021,12.0,1,Z1000,1,False,0.03238088324055578,29.57349178907265,0.9986648326580262,0.0,33.10752847923748,0.0
2021,12.0,1,Z925,1,False,0.025637682784976377,28.49401859387524,0.9987084149161788,0.0,32.75688365001555,0.0
2021,12.0,1,Z850,1,False,0.020129895538914137,28.04154405417838,0.998765149694453,0.0,31.108744708708336,0.0
2021,12.0,1,Z700,1,False,0.01341958738256441,28.468819255788013,0.9989859186324137,0.0,27.97941857373577,0.0
2021,12.0,1,t2m,1,False,0.023562450726376305,0.4618240433478971,0.9855251939157982,0.0,13.888753170502188,0.0
2021,12.0,1,u10,1,False,0.10274014527936216,0.5075363217842355,0.9916659980480823,0.0,6.397661811393385,0.0
2021,12.0,1,v10,1,False,0.19768884605393902,0.5495749850134132,0.9905590566342897,0.0,8.217190703033106,0.0
2021,12.0,1,mslp,1,False,0.03225343445184516,35.9851552261738,0.9987697986356052,0.0,32.972833081010656,0.0
2021,12.0,2,T1000,1,False,0.033406204561774046,0.566225890271951,0.9806010159224804,0.0,25.09939023062675,0.0
2021,12.0,2,T925,1,False,0.035540108592736534,0.5680711378653167,0.9849846845947013,0.0,15.663560047528824,0.0
2021,12.0,2,T850,1,False,0.037783343346418904,0.5801061445082827,0.9865608952236408,0.0,6.919384139183016,0.0
2021,12.0,2,T700,1,False,0.033414114598694984,0.4783210923473875,0.9891311181760206,0.0,2.9673997431017174,0.0
2021,12.0,2,U1000,1,False,0.17045924325790643,0.9406216820738045,0.9771867736861732,0.0,7.5403859480832285,0.0
2021,12.0,2,U925,1,False,0.1690031578030456,1.2101688975565263,0.9769890432135749,0.0,8.147191618870664,0.0
