architecture,year,field,hour,hour_split,heldout_nrmse,full_nrmse,full_gain_pct,heldout_physical_rmse,full_physical_rmse,physical_unit,heldout_acc,full_acc,full_acc_delta,comparability,heldout_steps,full_steps
WeatherBridge,2020,T1000,1,trained,0.01104741426210917,0.011102088308913214,-0.49490356301354094,0.18725060502383917,0.18817731349219058,K,0.9978039169408236,0.997782342140006,-2.157480081754759e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,T925,1,trained,0.011730742746138572,0.011715223486997776,0.1322956225078282,0.187503545461655,0.18725548671345543,K,0.9982931990733406,0.9982977177705779,4.518697237276825e-06,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,T850,1,trained,0.012957668034579357,0.012917143904840195,0.31274245976218795,0.19894541189663162,0.1983232256911023,K,0.998361199226826,0.9983714138672275,1.0214640401517983e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,T700,1,trained,0.011665565976525297,0.011676561343127303,-0.09425489191121551,0.16699189373863832,0.1671492906460024,K,0.998660542423422,0.9986578934890447,-2.648934377291745e-06,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,U1000,1,trained,0.04800407376505981,0.04868600800503536,-1.420575768867142,0.2648942450267834,0.26865726903739745,m s-1,0.9981841250472235,0.998132220632665,-5.190441455849015e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,U925,1,trained,0.04434960665209426,0.04489621285248566,-1.232493908411229,0.3175710734766583,0.3214851171084725,m s-1,0.9984160285382759,0.9983767709745042,-3.925756377176626e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,U850,1,trained,0.045120973473909656,0.045431723297036354,-0.6887037206907404,0.34004076496525987,0.3423826390515249,m s-1,0.9982721016443117,0.9982483731850681,-2.372845924358824e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,U700,1,trained,0.04353932315404658,0.04383325257268182,-0.6750895451343847,0.37141611858983026,0.3739235108340566,m s-1,0.9983604978183913,0.998338247935844,-2.2249882547287214e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,V1000,1,trained,0.08019027197563923,0.0814760231880105,-1.603375547550044,0.2465286130673749,0.25048139265226677,m s-1,0.9985491971380338,0.9985024015486192,-4.679558941456108e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,V925,1,trained,0.09518513814746017,0.09655245009157071,-1.4364762931712147,0.29787491460358445,0.30215381686932485,m s-1,0.9986441840330087,0.9986049864171385,-3.9197615870234515e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,V850,1,trained,0.12561967609866792,0.1272898419554265,-1.329541604172543,0.3150990296323517,0.31928840259063274,m s-1,0.9984050892920322,0.9983623885675446,-4.270072448764317e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,V700,1,trained,0.1481383991549912,0.15069183938009575,-1.7236855802883377,0.3313779324677321,0.33708984675528425,m s-1,0.9985775536772475,0.9985280599373587,-4.9493739888828436e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,Q1000,1,trained,0.018136763093066294,0.018228253820219233,-0.5044490391337537,0.00013112371491551326,0.00013178516715083965,kg kg-1,0.9963203291887321,0.9962827240981769,-3.7605090555281606e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,Q925,1,trained,0.029630309591098303,0.029685867229582302,-0.18750272693974973,0.00018246346991587802,0.00018280559380955122,kg kg-1,0.9931049437723529,0.9930798267729806,-2.5116999372354343e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,Q850,1,trained,0.039403777969971014,0.03924578792889918,0.40095150569632887,0.0001911237418776378,0.00019035742806806582,kg kg-1,0.9950371439743749,0.9950803427677947,4.3198793419740866e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,Q700,1,trained,0.05241544865037001,0.052208991004140025,0.3938870152712676,0.00015321885808889955,0.0001526153489851213,kg kg-1,0.9957670116390029,0.9958005938074914,3.358216848847739e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,Z1000,1,trained,0.018050922438155568,0.01853580965472733,-2.6862184923404353,16.485924812215494,16.92877278423457,m2 s-2,0.9995868790850301,0.9995643753176848,-2.2503767345249948e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,Z925,1,trained,0.014548467252859833,0.01496306270678889,-2.8497534944621714,16.169335598173472,16.630121776133024,m2 s-2,0.9995858902273269,0.9995619453631351,-2.3944864191771664e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,Z850,1,trained,0.01150006130480554,0.011834481531269423,-2.9079864672037714,16.019927926447757,16.485785221862642,m2 s-2,0.9995971865229069,0.9995734109669951,-2.3775555911709212e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,Z700,1,trained,0.007525544062849132,0.007756231062214961,-3.065386335383341,15.96497323240836,16.454361266228375,m2 s-2,0.9996777200249438,0.9996576566787154,-2.0063346228393897e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,t2m,1,trained,0.015102298429330205,0.015304281913172653,-1.3374353896369544,0.29600505564528884,0.29996393131990473,K,0.9939196507937008,0.9937557957264299,-0.0001638550672709016,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,u10,1,trained,0.048857464967845286,0.049481536311795034,-1.2773305867598115,0.2413558792465227,0.24443879128084978,m s-1,0.9981012284142645,0.9980524370846509,-4.879132961366217e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,v10,1,trained,0.08120599755439185,0.08240603282454875,-1.477766798385937,0.22575267031614807,0.22908876897599587,m s-1,0.9984334304993265,0.998386763209017,-4.666729030955441e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,mslp,1,trained,0.018263444836224076,0.018729951842887213,-2.5543209993870244,20.37652442262282,20.897006422648747,Pa,0.999606501427861,0.9995861455950648,-2.0355832796248308e-05,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,T1000,2,held_out,0.018888011696345977,0.01696718601981619,10.169549380898498,0.3201465529144736,0.28758909106116215,K,0.9936175039372199,0.9948502217553413,0.0012327178181213982,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,T925,2,held_out,0.01976359463900697,0.017994457716597658,8.9514936666309,0.31590020785858997,0.2876224206993714,K,0.9951606964024781,0.9959876937740659,0.0008269973715878676,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,T850,2,held_out,0.021247181484313846,0.019966189128556813,6.028998983713445,0.32621836497747986,0.3065506635885282,K,0.9955943435602579,0.9961057665942771,0.0005114230340191872,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,T700,2,held_out,0.01848458157390298,0.017922844887279132,3.0389472673642928,0.2646057026243276,0.2565644728621492,K,0.9966390032189761,0.9968328069916438,0.00019380377266764448,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,U1000,2,held_out,0.0802684403112926,0.07421041200468094,7.5472106884321555,0.4429342390999776,0.4095050591463465,m s-1,0.9949341764614542,0.9956653441296148,0.000731167668160615,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,U925,2,held_out,0.07452381380822681,0.06842238189510566,8.187224460656367,0.5336373711969998,0.4899472817471905,m s-1,0.9955370603626134,0.9962331395401772,0.0006960791775638686,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,U850,2,held_out,0.07488498605292004,0.06988915956378976,6.671332602772757,0.5643483697574524,0.5266988151788502,m s-1,0.9952390028017041,0.9958495178218392,0.000610515020135094,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,U700,2,held_out,0.07285671970734874,0.06860693405918017,5.833073003065645,0.6215108084211165,0.5852576318859697,m s-1,0.9953980617549056,0.9959170061793587,0.000518944424453105,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,V1000,2,held_out,0.13848074843320451,0.12643044935814832,8.70178650201952,0.42573077799939746,0.3886845941160264,m s-1,0.9956865034665459,0.996398887776237,0.0007123843096911164,optimizer_budget_and_seed_matched,13136,13136
WeatherBridge,2020,V925,2,held_out,0.16541594045238575,0.14892938750006954,9.966725641572491,0.5176570633135245,0.4660636049399191,m s-1,0.9959144284810645,0.9966843553411436,0.0007699268600791509,optimizer_budget_and_seed_matched,13136,13136
