architecture,year,field,hours,heldout_nrmse,full_nrmse,full_gain_pct,heldout_acc,full_acc,full_acc_delta,comparability
WeatherBridge,2020,T1000,trained,0.014021069553685699,0.014007025202245435,0.10016604929095256,0.9962068737702189,0.9962174066472927,1.0532877073865521e-05,optimizer_budget_and_seed_matched
WeatherBridge,2020,T1000,held_out,0.01914962943615965,0.017409419610740856,9.087433421206633,0.9934829960558658,0.9946199758323164,0.001136979776450664,optimizer_budget_and_seed_matched
WeatherBridge,2020,T925,trained,0.014837301146550547,0.01476581487383491,0.4818010499992908,0.9970559582479964,0.9970861071000825,3.0148852086075983e-05,optimizer_budget_and_seed_matched
WeatherBridge,2020,T925,held_out,0.01992188011264599,0.018303767721190453,8.122287566766314,0.9951075992278229,0.9958730256566137,0.0007654264287908497,optimizer_budget_and_seed_matched
WeatherBridge,2020,T850,trained,0.016495849484392953,0.01636680516782808,0.782283547670368,0.997121508635192,0.9971711099711801,4.960133598808092e-05,optimizer_budget_and_seed_matched
WeatherBridge,2020,T850,held_out,0.021788055435791553,0.020372585245091487,6.496542084131346,0.9953734621074237,0.995955753584385,0.0005822914769613163,optimizer_budget_and_seed_matched
WeatherBridge,2020,T700,trained,0.014662612225645605,0.014645064038054725,0.11967981776253274,0.9977162988791811,0.9977228137557473,6.514876566221517e-06,optimizer_budget_and_seed_matched
WeatherBridge,2020,T700,held_out,0.018817442892574456,0.018159539368633286,3.496242968276974,0.996520957469756,0.9967564277866898,0.00023547031693382792,optimizer_budget_and_seed_matched
WeatherBridge,2020,U1000,trained,0.06135903868392312,0.06173254165469936,-0.608717116153426,0.996802561012086,0.9967757621016888,-2.6798910397141107e-05,optimizer_budget_and_seed_matched
WeatherBridge,2020,U1000,held_out,0.0831792935851749,0.0765041666914178,8.024986274885618,0.9945301184005724,0.9953731037072362,0.0008429853066638238,optimizer_budget_and_seed_matched
