category,model,description,rmse_tau1,rmse_tau2,rmse_tau3,rmse_tau4,rmse_tau5,rmse_mean
DIRECT,Bilinear,numeric baseline,0.09123101838243504,0.14348300158356628,0.1617309731276085,0.1453614557006707,0.09206303434136014,0.12677389662712812
DIRECT,FuXi 24ch,autoregressive Swin,0.06094268996578952,0.0935130906291306,0.10473505574433754,0.09762017514246206,0.0624771696748212,0.08385763623130818
DIRECT,ModAFNO 24ch,AFNO с τ-modulation,0.0759061201498397,0.12084062539249597,0.13795198067808156,0.12329932033036085,0.07716659211888031,0.10703292773393167
DIRECT,S-DYff 24ch,DYffusion forward,0.07709974135722915,0.11932624372059193,0.13402825917971736,0.12094986176233459,0.07744059464387479,0.10576894013274955
DIRECT,ATM-VFI,flow-based VFI,0.051208333771517955,0.08323702563874043,0.0872328269126514,0.08966272436174161,0.05303724200135509,0.07287563053720128
DIRECT,WeatherDCAE,encoder-decoder direct,0.03856557627053311,0.06278669791451345,0.06710548729946215,0.06871444320616622,0.04051039565820247,0.055536520069775476
CORRECTION,CorrDiff/Bilinear,diffusion residual поверх Bilinear,0.08798312589836617,0.1386745396691064,0.15655213051165143,0.14068990969099104,0.08913021363938849,0.1226059838819007
CORRECTION,CorrDiff/DC-AE,diffusion residual поверх DC-AE,0.04277463094331324,0.0693686242448166,0.07622828028009583,0.07554685231298208,0.04483870517772933,0.06175141859178741
