model,channel,tau_hours,rmse_norm
FuXi 24ch,Q1000,3,0.040218
FuXi 24ch,Q925,3,0.071174
FuXi 24ch,Q850,3,0.108565
FuXi 24ch,Q700,3,0.135954
FuXi 24ch,Z1000,3,0.031806
FuXi 24ch,Z925,3,0.024932
FuXi 24ch,Z850,3,0.019336
FuXi 24ch,Z700,3,0.012695
FuXi 24ch,t2m,3,0.026813
FuXi 24ch,u10,3,0.116034
FuXi 24ch,v10,3,0.199532
FuXi 24ch,mslp,3,0.032349
FuXi 24ch,T1000,4,0.022681
FuXi 24ch,T925,4,0.025214
FuXi 24ch,T850,4,0.029033
FuXi 24ch,T700,4,0.025609
FuXi 24ch,U1000,4,0.108097
FuXi 24ch,U925,4,0.103851
FuXi 24ch,U850,4,0.107687
FuXi 24ch,U700,4,0.102428
FuXi 24ch,V1000,4,0.187534
FuXi 24ch,V925,4,0.228163
FuXi 24ch,V850,4,0.293650
FuXi 24ch,V700,4,0.343227
FuXi 24ch,Q1000,4,0.036703
FuXi 24ch,Q925,4,0.064379
FuXi 24ch,Q850,4,0.095757
FuXi 24ch,Q700,4,0.120773
FuXi 24ch,Z1000,4,0.031915
FuXi 24ch,Z925,4,0.025210
FuXi 24ch,Z850,4,0.019531
FuXi 24ch,Z700,4,0.012612
FuXi 24ch,t2m,4,0.030613
FuXi 24ch,u10,4,0.108939
FuXi 24ch,v10,4,0.187013
FuXi 24ch,mslp,4,0.032267
FuXi 24ch,T1000,5,0.014236
FuXi 24ch,T925,5,0.015948
FuXi 24ch,T850,5,0.018285
FuXi 24ch,T700,5,0.016338
FuXi 24ch,U1000,5,0.069624
FuXi 24ch,U925,5,0.066307
FuXi 24ch,U850,5,0.068951
FuXi 24ch,U700,5,0.065971
FuXi 24ch,V1000,5,0.118742
FuXi 24ch,V925,5,0.144440
FuXi 24ch,V850,5,0.185330
FuXi 24ch,V700,5,0.215209
FuXi 24ch,Q1000,5,0.022881
FuXi 24ch,Q925,5,0.040567
FuXi 24ch,Q850,5,0.060278
FuXi 24ch,Q700,5,0.076555
FuXi 24ch,Z1000,5,0.024344
FuXi 24ch,Z925,5,0.019646
FuXi 24ch,Z850,5,0.015465
FuXi 24ch,Z700,5,0.010130
FuXi 24ch,t2m,5,0.017084
FuXi 24ch,u10,5,0.070134
FuXi 24ch,v10,5,0.118540
FuXi 24ch,mslp,5,0.024446
ModAFNO 24ch,T1000,1,0.019878
ModAFNO 24ch,T925,1,0.021162
ModAFNO 24ch,T850,1,0.026273
ModAFNO 24ch,T700,1,0.023951
ModAFNO 24ch,U1000,1,0.079363
ModAFNO 24ch,U925,1,0.077764
ModAFNO 24ch,U850,1,0.075977
ModAFNO 24ch,U700,1,0.074544
ModAFNO 24ch,V1000,1,0.141591
ModAFNO 24ch,V925,1,0.179838
ModAFNO 24ch,V850,1,0.221636
ModAFNO 24ch,V700,1,0.262570
ModAFNO 24ch,Q1000,1,0.030267
ModAFNO 24ch,Q925,1,0.043871
ModAFNO 24ch,Q850,1,0.062401
ModAFNO 24ch,Q700,1,0.077246
ModAFNO 24ch,Z1000,1,0.028909
ModAFNO 24ch,Z925,1,0.031819
ModAFNO 24ch,Z850,1,0.023450
ModAFNO 24ch,Z700,1,0.023081
ModAFNO 24ch,t2m,1,0.033056
ModAFNO 24ch,u10,1,0.083517
ModAFNO 24ch,v10,1,0.146527
ModAFNO 24ch,mslp,1,0.033055
ModAFNO 24ch,T1000,2,0.028711
ModAFNO 24ch,T925,2,0.030257
ModAFNO 24ch,T850,2,0.035491
ModAFNO 24ch,T700,2,0.031399
ModAFNO 24ch,U1000,2,0.128231
ModAFNO 24ch,U925,2,0.125240
ModAFNO 24ch,U850,2,0.121898
ModAFNO 24ch,U700,2,0.116830
ModAFNO 24ch,V1000,2,0.236607
ModAFNO 24ch,V925,2,0.300994
ModAFNO 24ch,V850,2,0.371205
ModAFNO 24ch,V700,2,0.439391
ModAFNO 24ch,Q1000,2,0.041706
ModAFNO 24ch,Q925,2,0.066581
ModAFNO 24ch,Q850,2,0.099434
