model,channel,tau_hours,rmse_norm
WeatherDCAE,Z850,5,0.011414
WeatherDCAE,Z700,5,0.007609
WeatherDCAE,t2m,5,0.015042
WeatherDCAE,u10,5,0.046335
WeatherDCAE,v10,5,0.076781
WeatherDCAE,mslp,5,0.017880
CorrDiff/DC-AE,T1000,1,0.012206
CorrDiff/DC-AE,T925,1,0.013597
CorrDiff/DC-AE,T850,1,0.015306
CorrDiff/DC-AE,T700,1,0.014192
CorrDiff/DC-AE,U1000,1,0.047900
CorrDiff/DC-AE,U925,1,0.045833
CorrDiff/DC-AE,U850,1,0.045355
CorrDiff/DC-AE,U700,1,0.042718
CorrDiff/DC-AE,V1000,1,0.078818
CorrDiff/DC-AE,V925,1,0.093307
CorrDiff/DC-AE,V850,1,0.118550
CorrDiff/DC-AE,V700,1,0.134871
CorrDiff/DC-AE,Q1000,1,0.020730
CorrDiff/DC-AE,Q925,1,0.036033
CorrDiff/DC-AE,Q850,1,0.042821
CorrDiff/DC-AE,Q700,1,0.050039
CorrDiff/DC-AE,Z1000,1,0.017985
CorrDiff/DC-AE,Z925,1,0.014519
CorrDiff/DC-AE,Z850,1,0.011468
CorrDiff/DC-AE,Z700,1,0.007683
CorrDiff/DC-AE,t2m,1,0.014998
CorrDiff/DC-AE,u10,1,0.048809
CorrDiff/DC-AE,v10,1,0.080728
CorrDiff/DC-AE,mslp,1,0.018124
CorrDiff/DC-AE,T1000,2,0.019083
CorrDiff/DC-AE,T925,2,0.021261
CorrDiff/DC-AE,T850,2,0.023960
CorrDiff/DC-AE,T700,2,0.021839
CorrDiff/DC-AE,U1000,2,0.076500
CorrDiff/DC-AE,U925,2,0.073345
CorrDiff/DC-AE,U850,2,0.072385
CorrDiff/DC-AE,U700,2,0.068499
CorrDiff/DC-AE,V1000,2,0.131067
CorrDiff/DC-AE,V925,2,0.156578
CorrDiff/DC-AE,V850,2,0.198855
CorrDiff/DC-AE,V700,2,0.231638
CorrDiff/DC-AE,Q1000,2,0.032463
CorrDiff/DC-AE,Q925,2,0.056241
CorrDiff/DC-AE,Q850,2,0.068149
CorrDiff/DC-AE,Q700,2,0.080845
CorrDiff/DC-AE,Z1000,2,0.024005
CorrDiff/DC-AE,Z925,2,0.018985
CorrDiff/DC-AE,Z850,2,0.014787
CorrDiff/DC-AE,Z700,2,0.009818
CorrDiff/DC-AE,t2m,2,0.030023
CorrDiff/DC-AE,u10,2,0.077697
CorrDiff/DC-AE,v10,2,0.132454
CorrDiff/DC-AE,mslp,2,0.024370
CorrDiff/DC-AE,T1000,3,0.021280
CorrDiff/DC-AE,T925,3,0.023762
CorrDiff/DC-AE,T850,3,0.026777
CorrDiff/DC-AE,T700,3,0.024415
CorrDiff/DC-AE,U1000,3,0.084662
CorrDiff/DC-AE,U925,3,0.080597
CorrDiff/DC-AE,U850,3,0.080909
CorrDiff/DC-AE,U700,3,0.076954
CorrDiff/DC-AE,V1000,3,0.144393
CorrDiff/DC-AE,V925,3,0.170471
CorrDiff/DC-AE,V850,3,0.221220
CorrDiff/DC-AE,V700,3,0.258454
CorrDiff/DC-AE,Q1000,3,0.036887
CorrDiff/DC-AE,Q925,3,0.062862
CorrDiff/DC-AE,Q850,3,0.077429
CorrDiff/DC-AE,Q700,3,0.093960
CorrDiff/DC-AE,Z1000,3,0.022962
CorrDiff/DC-AE,Z925,3,0.017932
CorrDiff/DC-AE,Z850,3,0.013916
CorrDiff/DC-AE,Z700,3,0.009340
CorrDiff/DC-AE,t2m,3,0.024584
CorrDiff/DC-AE,u10,3,0.085849
CorrDiff/DC-AE,v10,3,0.146198
CorrDiff/DC-AE,mslp,3,0.023667
CorrDiff/DC-AE,T1000,4,0.020200
CorrDiff/DC-AE,T925,4,0.022229
CorrDiff/DC-AE,T850,4,0.024936
CorrDiff/DC-AE,T700,4,0.022455
CorrDiff/DC-AE,U1000,4,0.083653
CorrDiff/DC-AE,U925,4,0.080046
CorrDiff/DC-AE,U850,4,0.078860
CorrDiff/DC-AE,U700,4,0.073563
CorrDiff/DC-AE,V1000,4,0.144706
CorrDiff/DC-AE,V925,4,0.173315
CorrDiff/DC-AE,V850,4,0.220529
CorrDiff/DC-AE,V700,4,0.254110
CorrDiff/DC-AE,Q1000,4,0.033785
CorrDiff/DC-AE,Q925,4,0.057949
CorrDiff/DC-AE,Q850,4,0.070967
CorrDiff/DC-AE,Q700,4,0.085878
CorrDiff/DC-AE,Z1000,4,0.027768
CorrDiff/DC-AE,Z925,4,0.022149
CorrDiff/DC-AE,Z850,4,0.017262
CorrDiff/DC-AE,Z700,4,0.011302
CorrDiff/DC-AE,t2m,4,0.029094
CorrDiff/DC-AE,u10,4,0.084535
CorrDiff/DC-AE,v10,4,0.145739
CorrDiff/DC-AE,mslp,4,0.028098
CorrDiff/DC-AE,T1000,5,0.012476
CorrDiff/DC-AE,T925,5,0.013904
CorrDiff/DC-AE,T850,5,0.015651
CorrDiff/DC-AE,T700,5,0.014430
CorrDiff/DC-AE,U1000,5,0.049952
CorrDiff/DC-AE,U925,5,0.047907
CorrDiff/DC-AE,U850,5,0.047904
CorrDiff/DC-AE,U700,5,0.044551
CorrDiff/DC-AE,V1000,5,0.082738
CorrDiff/DC-AE,V925,5,0.098106
CorrDiff/DC-AE,V850,5,0.125589
CorrDiff/DC-AE,V700,5,0.141490
CorrDiff/DC-AE,Q1000,5,0.021040
CorrDiff/DC-AE,Q925,5,0.036300
CorrDiff/DC-AE,Q850,5,0.044807
CorrDiff/DC-AE,Q700,5,0.053059
CorrDiff/DC-AE,Z1000,5,0.019377
CorrDiff/DC-AE,Z925,5,0.015708
CorrDiff/DC-AE,Z850,5,0.012430
CorrDiff/DC-AE,Z700,5,0.008248
CorrDiff/DC-AE,t2m,5,0.015884
CorrDiff/DC-AE,u10,5,0.050721
CorrDiff/DC-AE,v10,5,0.084329
CorrDiff/DC-AE,mslp,5,0.019529
