model,channel,tau_hours,acc
FuXi 24ch,Q1000,3,0.982229
FuXi 24ch,Q925,3,0.960049
FuXi 24ch,Q850,3,0.961871
FuXi 24ch,Q700,3,0.970971
FuXi 24ch,Z1000,3,0.998740
FuXi 24ch,Z925,3,0.998804
FuXi 24ch,Z850,3,0.998880
FuXi 24ch,Z700,3,0.999094
FuXi 24ch,t2m,3,0.984954
FuXi 24ch,u10,3,0.989337
FuXi 24ch,v10,3,0.990583
FuXi 24ch,mslp,3,0.998786
FuXi 24ch,T1000,4,0.992057
FuXi 24ch,T925,4,0.992660
FuXi 24ch,T850,4,0.991951
FuXi 24ch,T700,4,0.993596
FuXi 24ch,U1000,4,0.990822
FuXi 24ch,U925,4,0.991380
FuXi 24ch,U850,4,0.990243
FuXi 24ch,U700,4,0.991006
FuXi 24ch,V1000,4,0.992048
FuXi 24ch,V925,4,0.992239
FuXi 24ch,V850,4,0.991382
FuXi 24ch,V700,4,0.992492
FuXi 24ch,Q1000,4,0.985360
FuXi 24ch,Q925,4,0.967446
FuXi 24ch,Q850,4,0.970289
FuXi 24ch,Q700,4,0.977343
FuXi 24ch,Z1000,4,0.998755
FuXi 24ch,Z925,4,0.998799
FuXi 24ch,Z850,4,0.998876
FuXi 24ch,Z700,4,0.999119
FuXi 24ch,t2m,4,0.983051
FuXi 24ch,u10,4,0.990601
FuXi 24ch,v10,4,0.991680
FuXi 24ch,mslp,4,0.998811
FuXi 24ch,T1000,5,0.997039
FuXi 24ch,T925,5,0.997144
FuXi 24ch,T850,5,0.996843
FuXi 24ch,T700,5,0.997404
FuXi 24ch,U1000,5,0.996229
FuXi 24ch,U925,5,0.996509
FuXi 24ch,U850,5,0.996016
FuXi 24ch,U700,5,0.996272
FuXi 24ch,V1000,5,0.996842
FuXi 24ch,V925,5,0.996910
FuXi 24ch,V850,5,0.996574
FuXi 24ch,V700,5,0.997034
FuXi 24ch,Q1000,5,0.994434
FuXi 24ch,Q925,5,0.987423
FuXi 24ch,Q850,5,0.988462
FuXi 24ch,Q700,5,0.991007
FuXi 24ch,Z1000,5,0.999278
FuXi 24ch,Z925,5,0.999272
FuXi 24ch,Z850,5,0.999296
FuXi 24ch,Z700,5,0.999432
FuXi 24ch,t2m,5,0.995523
FuXi 24ch,u10,5,0.996144
FuXi 24ch,v10,5,0.996691
FuXi 24ch,mslp,5,0.999321
ModAFNO 24ch,T1000,1,0.992929
ModAFNO 24ch,T925,1,0.994455
ModAFNO 24ch,T850,1,0.993270
ModAFNO 24ch,T700,1,0.994345
ModAFNO 24ch,U1000,1,0.995030
ModAFNO 24ch,U925,1,0.995126
ModAFNO 24ch,U850,1,0.995097
ModAFNO 24ch,U700,1,0.995188
