ell power_ratio signed_cospectrum
80 0.713708397 0.850135254
81 0.708604307 0.845967443
82 0.706078901 0.839358229
83 0.704579520 0.838692821
84 0.706189553 0.832543120
85 0.697456622 0.827272848
86 0.699625312 0.827565120
87 0.691985570 0.821349691
88 0.697409782 0.820794303
89 0.694412293 0.812422957
90 0.694152170 0.811932174
91 0.684741857 0.802373919
92 0.691776098 0.802773202
93 0.687001535 0.797627501
94 0.684622427 0.793601432
95 0.684914993 0.792112991
96 0.680140984 0.786920046
97 0.677381323 0.783841744
98 0.672583858 0.777800713
99 0.678097407 0.775099899
100 0.673753870 0.770210586
101 0.669239053 0.764403338
102 0.669229118 0.761482897
103 0.667706532 0.758307802
104 0.669881704 0.753078875
105 0.667935052 0.754302894
106 0.668678636 0.752326115
107 0.669388435 0.745089996
108 0.669311606 0.742848020
109 0.667916746 0.740193589
110 0.661233769 0.733077695
111 0.656703374 0.730050755
112 0.662397560 0.727278824
113 0.663376774 0.725861644
114 0.652337778 0.716443439
115 0.654420417 0.715821958
116 0.653241336 0.713950841
117 0.654176830 0.713010429
118 0.647708374 0.706604635
119 0.657947403 0.707196947
120 0.650449195 0.698160365
121 0.649369487 0.694595079
122 0.652392482 0.693584328
123 0.648912263 0.693480846
124 0.645305925 0.683875152
125 0.652430299 0.685264470
126 0.650665705 0.683834191
127 0.646236160 0.673824271
128 0.645361737 0.674509726
129 0.644690961 0.669076568
130 0.644957976 0.669684163
131 0.648269749 0.665868872
132 0.645694926 0.663467402
133 0.642997279 0.664083322
134 0.638357291 0.654131307
135 0.642368772 0.654350311
136 0.646484907 0.654039429
137 0.647676816 0.653754352
138 0.635894155 0.640853521
139 0.645266479 0.647642041
140 0.636869395 0.639669376
141 0.636185683 0.635280843
142 0.642107658 0.638037501
143 0.638330190 0.634551885
144 0.639678791 0.630489262
145 0.645987739 0.636304319
146 0.633750969 0.629494525
147 0.640274107 0.629585690
148 0.635166169 0.620559655
149 0.637120367 0.624763437
150 0.642193915 0.624037909
151 0.635751123 0.616551989
152 0.637248526 0.613887873
153 0.639281445 0.617403964
154 0.634622183 0.607521703
155 0.636764450 0.607673691
156 0.633910276 0.602574851
157 0.633543382 0.598926313
158 0.635129849 0.596957748
159 0.637192013 0.602438280
160 0.630187990 0.600748446
161 0.635142496 0.595973324
162 0.632841950 0.592235833
163 0.628010651 0.587397659
164 0.644430604 0.599045763
165 0.634043057 0.590154841
166 0.633678594 0.585113035
167 0.639849690 0.589887653
168 0.631276852 0.580346632
169 0.632985431 0.581406210
170 0.634318066 0.581912700
171 0.633578112 0.575234403
172 0.636969722 0.585513578
173 0.633019141 0.579966510
174 0.628954819 0.574139635
175 0.639911146 0.577223357
176 0.628222519 0.564321172
177 0.636710900 0.571817570
178 0.639239032 0.570483210
179 0.633570361 0.569568723
180 0.632920170 0.563157891
