candidate,reference,horizon_hours,year,family,metric,scope,tau,channel,better,left,right,delta_left_minus_right,ci95_low,ci95_median,ci95_high,n_windows,n_blocks,block_days,draws,p_raw_two_sided,p_censored,p_raw_left_better,p_raw_left_worse,p_holm_two_sided,p_holm_left_better,p_holm_left_worse,family_alpha,source_path,source_sha256
flow_spectral,weatherbridge_detail,6,2020,acc,mean_window_acc,field_hour,1,Q850,higher,0.9949916082543212,0.9951299113601507,-0.0001383031058295181,-0.00014261925546759646,-0.0001383457217127293,-0.0001341583711708505,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherdcae_14m_6yr,6,2020,acc,mean_window_acc,field_hour,1,Q850,higher,0.9949916082543212,0.9894725354012771,0.0055190728530440936,0.005371769884164421,0.005519598515784374,0.0056710804226027724,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,refine,6,2020,acc,mean_window_acc,field_hour,1,Q925,higher,0.9930551526323216,0.993073612675631,-1.8460043309409535e-05,-2.3779450901911803e-05,-1.848053632447222e-05,-1.3321013202655112e-05,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherbridge_detail,6,2020,acc,mean_window_acc,field_hour,1,Q925,higher,0.9930551526323216,0.9931152938818655,-6.01412495438991e-05,-6.44128428234636e-05,-6.015995867930668e-05,-5.593068278147152e-05,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherdcae_14m_6yr,6,2020,acc,mean_window_acc,field_hour,1,Q925,higher,0.9930551526323216,0.9877544247525568,0.005300727879764766,0.005143007718193729,0.005301860609292941,0.005463126298080334,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,refine,6,2020,acc,mean_window_acc,field_hour,1,T1000,higher,0.9977363550084467,0.997390704047411,0.0003456509610356706,0.00033194780903966493,0.00034574535108022886,0.00035929594510970554,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherbridge_detail,6,2020,acc,mean_window_acc,field_hour,1,T1000,higher,0.9977363550084467,0.9976303450717392,0.00010600993670750736,0.0001012102299084744,0.00010600385071607432,0.00011087766438392654,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherdcae_14m_6yr,6,2020,acc,mean_window_acc,field_hour,1,T1000,higher,0.9977363550084467,0.9968402207264409,0.000896134282005856,0.0008558467205554005,0.0008961141389467464,0.0009380254370305013,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,refine,6,2020,acc,mean_window_acc,field_hour,1,T700,higher,0.9986308964653041,0.99847846962537,0.00015242683993410555,0.0001474200661209235,0.00015239589013982258,0.00015774902250825228,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherbridge_detail,6,2020,acc,mean_window_acc,field_hour,1,T700,higher,0.9986308964653041,0.9985180984843861,0.0001127979809180113,0.00010687462212673749,0.00011279032473110462,0.00011862896879201168,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
flow_spectral,weatherdcae_14m_6yr,6,2020,acc,mean_window_acc,field_hour,1,T700,higher,0.9986308964653041,0.9977319654909943,0.0008989309743098195,0.0008687700819089289,0.0008989212238361688,0.0009317422873037495,7315,53,7,5000,0.0001999600079984003,true,,,0.023995200959808036,,,0.05,/home/jovyan/shares/SR006.nfs2/dsuhoi/weather_time_interpolation_runtime/metrics/detailed_benchmark_v2/6h/2020/full_year/paired_acc_flow_spectral.json,77bf688721991bd6f5c60fef353121829790efed86a5bc63e44579aa9406939a
